"filename", "language", "JSON", "Rust", "Markdown", "TOML", "HTML", "SCSS", "GLSL", "comment", "blank", "total"
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\Cargo.lock", "TOML", 0, 0, 0, 1021, 0, 0, 0, 2, 115, 1138
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\Cargo.toml", "TOML", 0, 0, 0, 41, 0, 0, 0, 1, 3, 45
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\index.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\index.scss", "SCSS", 0, 0, 0, 0, 0, 56, 0, 1, 8, 65
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\app.rs", "Rust", 0, 14, 0, 0, 0, 0, 0, 7, 2, 23
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\asteroid.json", "JSON", 113, 0, 0, 0, 0, 0, 0, 0, 0, 113
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\bullet.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\mod.rs", "Rust", 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\ship.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 0, 86
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\teste.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\drawable\mod.rs", "Rust", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\drawable\object.rs", "Rust", 0, 221, 0, 0, 0, 0, 0, 8, 36, 265
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\entity\mod.rs", "Rust", 0, 274, 0, 0, 0, 0, 0, 9, 65, 348
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\game.rs", "Rust", 0, 435, 0, 0, 0, 0, 0, 90, 80, 605
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\mod.rs", "Rust", 0, 156, 0, 0, 0, 0, 0, 12, 30, 198
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Object\fragment_shader.glsl", "GLSL", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Object\vertex_shader.glsl", "GLSL", 0, 0, 0, 0, 0, 0, 26, 0, 12, 38
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Teste\fragment.glsl", "GLSL", 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Teste\vertex.glsl", "GLSL", 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\mod.rs", "Rust", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\example_request.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 0, 14, 59
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\hook\mod.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\hook\use_framerate.rs", "Rust", 0, 36, 0, 0, 0, 0, 0, 7, 8, 51
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\main.rs", "Rust", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"Total", "-", 249, 1227, 1, 1062, 8, 56, 45, 140, 399, 3187